interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
harmonized,ssp245,mid_2041_2060,0.2,83331.77001953125,95443.18243408203,12111.412414550781
harmonized,ssp245,near_2021_2040,0.08,142096.1459350586,155139.69173049927,13043.545795440674
harmonized,ssp245,near_2021_2040,0.09,134541.96411132812,149203.5533027649,14661.589191436768
harmonized,ssp245,near_2021_2040,0.1,127004.48846435547,141658.08168411255,14653.59321975708
harmonized,ssp245,near_2021_2040,0.11,120401.64361572266,140083.48749160767,19681.84387588501
harmonized,ssp245,near_2021_2040,0.12,115910.81970214844,130517.9196472168,14607.09994506836
harmonized,ssp245,near_2021_2040,0.13,111368.18328857422,122481.83810424805,11113.654815673828
harmonized,ssp245,near_2021_2040,0.14,109098.79125976562,116899.77746582031,7800.9862060546875
harmonized,ssp245,near_2021_2040,0.15,106086.74365234375,112363.92626953125,6277.1826171875
harmonized,ssp245,near_2021_2040,0.16,105334.8383178711,108949.47375488281,3614.6354370117188
harmonized,ssp245,near_2021_2040,0.17,98121.8803100586,107431.98620605469,9310.105895996094
harmonized,ssp245,near_2021_2040,0.18,92860.80279541016,106708.08947753906,13847.286682128906
harmonized,ssp245,near_2021_2040,0.19,87891.34106445312,104440.96380615234,16549.62274169922
harmonized,ssp245,near_2021_2040,0.2,83331.77001953125,99973.36505126953,16641.59503173828
harmonized,ssp585,late_2081_2100,0.08,142096.1459350586,154768.1100654602,12671.964130401611
harmonized,ssp585,late_2081_2100,0.09,134541.96411132812,145730.59434890747,11188.630237579346
harmonized,ssp585,late_2081_2100,0.1,127004.48846435547,138283.29735183716,11278.80888748169
harmonized,ssp585,late_2081_2100,0.11,120401.64361572266,134482.99962234497,14081.356006622314
harmonized,ssp585,late_2081_2100,0.12,115910.81970214844,127633.16654968262,11722.34684753418
harmonized,ssp585,late_2081_2100,0.13,111368.18328857422,118968.77168273926,7600.588394165039
harmonized,ssp585,late_2081_2100,0.14,109098.79125976562,111618.98774719238,2520.196487426758
harmonized,ssp585,late_2081_2100,0.15,106086.74365234375,107589.40376281738,1502.6601104736328
harmonized,ssp585,late_2081_2100,0.16,105334.8383178711,101536.07026672363,-3798.768051147461
harmonized,ssp585,late_2081_2100,0.17,98121.8803100586,96122.24444580078,-1999.6358642578125
harmonized,ssp585,late_2081_2100,0.18,92860.80279541016,91608.91967773438,-1251.8831176757812
harmonized,ssp585,late_2081_2100,0.19,87891.34106445312,90847.58990478516,2956.2488403320312
harmonized,ssp585,late_2081_2100,0.2,83331.77001953125,87819.09259033203,4487.322570800781
harmonized,ssp585,mid_2041_2060,0.08,142096.1459350586,154823.7194404602,12727.573505401611
harmonized,ssp585,mid_2041_2060,0.09,134541.96411132812,148744.86751174927,14202.903400421143
harmonized,ssp585,mid_2041_2060,0.1,127004.48846435547,141881.5120124817,14877.02354812622
harmonized,ssp585,mid_2041_2060,0.11,120401.64361572266,133692.28746032715,13290.643844604492
harmonized,ssp585,mid_2041_2060,0.12,115910.81970214844,126903.82066345215,10993.000961303711
harmonized,ssp585,mid_2041_2060,0.13,111368.18328857422,116552.13792419434,5183.954635620117
harmonized,ssp585,mid_2041_2060,0.14,109098.79125976562,112678.08959960938,3579.29833984375
harmonized,ssp585,mid_2041_2060,0.15,106086.74365234375,105161.4515991211,-925.2920532226562
harmonized,ssp585,mid_2041_2060,0.16,105334.8383178711,101380.84753417969,-3953.9907836914062
harmonized,ssp585,mid_2041_2060,0.17,98121.8803100586,98385.95977783203,264.0794677734375
harmonized,ssp585,mid_2041_2060,0.18,92860.80279541016,96117.65649414062,3256.8536987304688
harmonized,ssp585,mid_2041_2060,0.19,87891.34106445312,93867.96710205078,5976.626037597656
harmonized,ssp585,mid_2041_2060,0.2,83331.77001953125,90828.68200683594,7496.9119873046875
harmonized,ssp585,near_2021_2040,0.08,142096.1459350586,150723.18349075317,8627.03755569458
harmonized,ssp585,near_2021_2040,0.09,134541.96411132812,143165.9870185852,8624.02290725708
